gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21,gap_22,gap_23,gap_24,gap_25,gap_26,gap_27,gap_28,gap_29,gap_30,gap_31,gap_32,gap_33,gap_34,gap_35,gap_36,gap_37,gap_38,gap_39,gap_40,gap_41,gap_42,gap_43,gap_44,gap_45,gap_46,gap_47,gap_48,gap_49,gap_50,gap_51,gap_52,gap_53,gap_54,gap_55,gap_56,gap_57,gap_58,gap_59,gap_60,gap_61,gap_62,gap_63,gap_64,gap_65,gap_66,gap_67,gap_68,gap_69,gap_70,gap_71,gap_72,gap_73,gap_74,gap_75,gap_76,gap_77,gap_78,gap_79,gap_80,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8,freq_9,freq_10,freq_11,freq_12,freq_13,freq_14,freq_15,freq_16,freq_17,freq_18,freq_19,freq_20,freq_21,freq_22,freq_23,freq_24,freq_25,freq_26,freq_27,freq_28,freq_29,freq_30,freq_31,freq_32,freq_33,freq_34,freq_35,freq_36,freq_37,freq_38,freq_39,freq_40,freq_41,freq_42,freq_43,freq_44,freq_45,freq_46,freq_47,freq_48,freq_49,freq_50,freq_51,freq_52,freq_53,freq_54,freq_55,freq_56,freq_57,freq_58,freq_59,freq_60,freq_61,freq_62,freq_63,freq_64,freq_65,freq_66,freq_67,freq_68,freq_69,freq_70,freq_71,freq_72,freq_73,freq_74,freq_75,freq_76,freq_77,freq_78,freq_79,freq_80,label
0,1,2,3,3,2,1,0,1,2,3,4,5,4,3,2,1,0,0,0,1,0,1,0,1,0,1,2,3,4,4,3,2,1,0,1,2,2,1,0,1,2,1,0,1,2,3,2,1,0,1,2,2,1,0,0,0,1,2,3,3,2,1,0,1,1,0,0,1,2,3,2,1,0,1,0,1,2,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0,0,1,2,3,2,1,0,1,0,1,1,0,1,2,3,4,4,3,2,1,0,1,1,0,0,1,2,1,0,1,2,2,1,0,0,1,2,3,2,1,0,1,2,2,1,0,1,2,3,3,2,1,0,1,2,3,2,1,0,0,1,2,2,1,0,1,2,3,2,1,0,1,0,1,2,3,4,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1,0,1,0,1,2,3,3,2,1,0,1,2,2,1,0,0,1,2,3,3,2,1,0,1,2,2,1,0,1,0,1,0,1,0,0,1,1,0,1,2,2,1,0,1,1,0,0,1,2,3,4,4,3,2,1,0,1,0,1,2,3,4,5,6,6,5,4,3,2,1,0,1,0,1,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,1,2,1,0,1,0,1,1,0,1,0,1,2,3,2,1,0,0,1,2,1,0,0,0,1,2,3,3,2,1,0,0,0,1,2,3,4,5,6,5,4,3,2,1,0,1,2,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
1,0,1,0,1,2,3,4,4,3,2,1,0,1,2,1,0,0,1,1,0,0,1,2,1,0,1,1,0,1,0,1,2,1,0,1,1,0,1,1,0,0,1,2,3,2,1,0,1,2,3,4,5,4,3,2,1,0,1,1,0,1,2,2,1,0,1,2,1,0,1,2,3,4,4,3,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,1,1,0,1,2,3,4,5,5,4,3,2,1,0,0,1,1,0,0,1,2,1,0,0,0,1,1,0,0,1,2,3,4,5,6,7,8,9,8,7,6,5,4,3,2,1,0,1,0,1,1,0,1,2,3,4,3,2,1,0,1,2,1,0,1,1,0,1,1,0,0,1,2,3,4,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1
3,2,1,0,1,0,1,2,2,1,0,0,1,0,1,2,3,2,1,0,1,0,1,2,3,4,5,6,5,4,3,2,1,0,1,2,2,1,0,0,1,0,1,2,1,0,1,0,1,1,0,1,0,1,2,3,4,3,2,1,0,1,2,2,1,0,1,0,0,1,1,0,1,2,3,4,5,6,7,8,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,2,2,1,0,1,2,1,0,1,2,3,4,3,2,1,0,0,0,1,0,1,2,2,1,0,1,2,3,2,1,0,1,2,1,0,1,0,1,2,1,0,1,0,1,2,2,1,0,1,2,1,0,0,1,2,1,0,1,2,3,4,5,6,5,4,3,2,1,0,1,0,1,2,3,4,5,6,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
3,2,1,0,1,0,1,1,0,0,0,0,1,2,3,4,4,3,2,1,0,1,0,1,0,1,0,0,1,1,0,1,2,3,4,3,2,1,0,0,1,2,3,3,2,1,0,0,1,2,3,4,3,2,1,0,1,2,3,3,2,1,0,1,2,3,3,2,1,0,1,2,2,1,0,1,2,3,4,5,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,1,2,3,3,2,1,0,1,1,0,0,1,2,2,1,0,0,1,2,2,1,0,1,1,0,1,2,1,0,0,1,2,3,4,3,2,1,0,1,2,1,0,1,2,2,1,0,1,2,3,3,2,1,0,1,2,3,2,1,0,1,0,1,2,2,1,0,1,1,0,0,1,2,2,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
2,1,0,1,2,1,0,1,2,3,4,4,3,2,1,0,1,0,1,0,0,1,2,3,2,1,0,1,0,1,2,1,0,1,1,0,1,2,2,1,0,1,1,0,1,2,1,0,0,0,1,2,3,4,3,2,1,0,0,1,2,1,0,1,2,3,3,2,1,0,1,2,3,4,3,2,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2,1,0,0,1,2,3,4,5,6,5,4,3,2,1,0,0,1,2,3,3,2,1,0,1,2,1,0,0,1,1,0,1,2,1,0,1,2,2,1,0,1,0,1,2,2,1,0,1,0,0,1,2,1,0,0,1,0,1,2,3,4,3,2,1,0,1,2,3,4,3,2,1,0,1,0,1,2,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3,2,1,0,1,1,0,1,2,3,2,1,0,1,1,0,0,1,2,2,1,0,1,0,1,2,2,1,0,1,2,1,0,1,2,3,4,5,6,5,4,3,2,1,0,1,2,2,1,0,1,0,0,1,2,2,1,0,1,2,2,1,0,1,1,0,1,0,1,2,2,1,0,1,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
1,0,0,0,1,1,0,1,0,1,0,1,2,3,4,3,2,1,0,0,1,2,1,0,1,1,0,1,2,3,4,3,2,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,2,3,4,5,6,7,7,6,5,4,3,2,1,0,0,1,2,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,3,2,1,0,1,1,0,1,1,0,1,1,0,1,2,1,0,0,1,0,1,1,0,1,2,1,0,1,2,3,2,1,0,0,1,2,3,4,4,3,2,1,0,1,2,3,4,5,4,3,2,1,0,1,1,0,1,2,1,0,1,0,1,0,1,1,0,1,2,3,4,3,2,1,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
0,1,2,1,0,0,1,2,3,3,2,1,0,1,0,1,2,3,4,3,2,1,0,1,2,2,1,0,0,1,1,0,1,2,3,4,3,2,1,0,1,2,3,2,1,0,1,2,2,1,0,1,2,3,2,1,0,1,0,1,1,0,0,1,1,0,1,2,3,3,2,1,0,1,2,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
0,1,0,1,2,1,0,1,2,2,1,0,1,0,0,1,0,1,2,3,4,3,2,1,0,1,1,0,1,2,1,0,1,2,1,0,1,2,3,2,1,0,1,2,3,3,2,1,0,1,2,1,0,0,1,2,1,0,1,1,0,1,2,3,4,5,4,3,2,1,0,1,0,0,1,2,3,4,5,6,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
1,0,1,0,0,1,2,3,4,5,6,7,8,9,10,10,9,8,7,6,5,4,3,2,1,0,0,1,1,0,1,2,1,0,1,2,1,0,1,2,2,1,0,1,2,2,1,0,0,1,2,3,2,1,0,0,1,1,0,0,1,2,3,3,2,1,0,1,2,2,1,0,0,0,0,1,2,3,4,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,2,2,1,0,1,0,1,1,0,1,2,2,1,0,0,1,0,1,0,1,1,0,1,1,0,1,2,3,4,5,6,7,8,8,7,6,5,4,3,2,1,0,1,2,3,4,4,3,2,1,0,0,1,2,3,2,1,0,1,2,3,3,2,1,0,1,0,0,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
9,8,7,6,5,4,3,2,1,0,1,2,3,4,3,2,1,0,1,2,1,0,1,2,1,0,1,2,2,1,0,0,1,0,1,2,3,4,3,2,1,0,1,0,0,0,1,1,0,1,2,3,4,5,5,4,3,2,1,0,0,1,2,2,1,0,1,2,2,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1
0,1,0,0,1,2,1,0,1,2,3,4,5,5,4,3,2,1,0,1,2,2,1,0,0,1,2,1,0,1,2,3,3,2,1,0,0,1,1,0,1,2,2,1,0,1,2,1,0,1,2,2,1,0,1,0,1,2,2,1,0,1,2,3,3,2,1,0,1,2,3,3,2,1,0,0,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
0,0,1,2,3,2,1,0,1,2,2,1,0,0,1,0,1,2,2,1,0,0,1,2,2,1,0,0,1,2,3,4,5,6,7,8,9,9,8,7,6,5,4,3,2,1,0,1,2,2,1,0,1,0,0,1,2,2,1,0,1,2,3,2,1,0,1,2,3,4,3,2,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,1,0,1,2,1,0,1,0,1,0,1,2,3,2,1,0,0,1,2,3,4,3,2,1,0,1,2,3,4,3,2,1,0,1,2,1,0,1,2,1,0,0,1,1,0,1,2,2,1,0,1,0,1,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1
0,1,1,0,1,1,0,1,2,1,0,1,2,3,3,2,1,0,0,1,0,1,2,1,0,1,0,1,0,1,2,3,2,1,0,1,2,1,0,1,1,0,1,2,3,2,1,0,1,2,3,4,5,4,3,2,1,0,0,1,1,0,1,0,1,2,1,0,1,2,3,2,1,0,1,2,3,4,5,6,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,0,0,1,2,1,0,1,0,1,2,3,3,2,1,0,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,0,1,0,1,0,1,0,0,1,0,1,2,3,4,4,3,2,1,0,1,2,3,4,5,6,5,4,3,2,1,0,0,1,2,1,0,1,2,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
4,3,2,1,0,1,2,3,2,1,0,1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,1,2,2,1,0,1,2,3,2,1,0,1,2,3,2,1,0,1,2,3,2,1,0,1,2,3,2,1,0,1,0,0,0,1,2,3,2,1,0,1,2,1,0,1,2,3,4,5,5,4,3,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
3,2,1,0,1,2,2,1,0,1,1,0,0,1,2,3,2,1,0,1,2,3,4,3,2,1,0,1,2,1,0,1,2,2,1,0,1,0,1,1,0,0,1,2,2,1,0,0,1,2,2,1,0,1,2,2,1,0,1,2,3,2,1,0,1,1,0,1,1,0,1,2,1,0,1,1,0,1,2,3,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
3,2,1,0,1,1,0,1,2,2,1,0,0,1,2,3,4,5,5,4,3,2,1,0,1,2,1,0,1,2,1,0,1,2,3,3,2,1,0,0,1,0,1,1,0,1,1,0,1,2,3,2,1,0,1,2,2,1,0,1,2,2,1,0,1,0,0,1,2,3,4,4,3,2,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
